"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",8506.86874582548,9.86428224806291,862.391052070313,0
"2","smoke",541.954668813586,8.32714765514801,65.0828700603789,0
"3","female",-252.947353947442,6.06223460100627,-41.7251014841054,0
"4","age",15.7781869559738,0.195257822300065,80.8069391029388,0
"5","cardiac",408.23819318763,14.2246865531122,28.6992751413783,8.42997997008505e-168
